Date, Workout Type, Calories, Time, Distance, Pace, Heart Rate, Elevation
10/18/25,Traditional Strength Training,"3" kcal, 1min,"0" mi,"0s","0 bpm","0 m"
10/23/25,Traditional Strength Training,"500" kcal, 1min,"0" mi,"0s","77 bpm","0 m"
11/19/25,Traditional Strength Training,"8" kcal, 5min,"0" mi,"0s","109 bpm","0 m"
11/19/25,Traditional Strength Training,"154" kcal, 32min,"0" mi,"0s","112 bpm","0 m"
11/20/25,Traditional Strength Training,"136" kcal, 33min,"0" mi,"0s","101 bpm","0 m"
11/20/25,Traditional Strength Training,"90" kcal, 25min,"0" mi,"0s","96 bpm","0 m"
11/21/25,Traditional Strength Training,"118" kcal, 21min,"0" mi,"0s","118 bpm","0 m"
11/23/25,Traditional Strength Training,"36" kcal, 8min,"0" mi,"0s","85 bpm","0 m"
11/23/25,Traditional Strength Training,"15" kcal, 3min,"0" mi,"0s","87 bpm","0 m"
11/25/25,Traditional Strength Training,"218" kcal, 40min,"0" mi,"0s","108 bpm","0 m"
11/25/25,Traditional Strength Training,"108" kcal, 22min,"0" mi,"0s","109 bpm","0 m"
11/25/25,Traditional Strength Training,"22" kcal, 4min,"0" mi,"0s","115 bpm","0 m"
11/25/25,Traditional Strength Training,"44" kcal, 9min,"0" mi,"0s","110 bpm","0 m"
11/26/25,Traditional Strength Training,"78" kcal, 17min,"0" mi,"0s","98 bpm","0 m"
12/3/25,Traditional Strength Training,"58" kcal, 13min,"0" mi,"0s","113 bpm","0 m"
12/4/25,Traditional Strength Training,"41" kcal, 9min,"0" mi,"0s","108 bpm","0 m"
12/4/25,Traditional Strength Training,"10" kcal, 2min,"0" mi,"0s","110 bpm","0 m"
12/4/25,Traditional Strength Training,"95" kcal, 22min,"0" mi,"0s","98 bpm","0 m"
12/5/25,Traditional Strength Training,"63" kcal, 10min,"0" mi,"0s","120 bpm","0 m"
12/5/25,Traditional Strength Training,"1,020" kcal, 1day 10hr,"0" mi,"0s","82 bpm","0 m"
12/5/25,Traditional Strength Training,"41" kcal, 9min,"0" mi,"0s","108 bpm","0 m"
12/17/25,Traditional Strength Training,"67" kcal, 16min,"0" mi,"0s","102 bpm","0 m"
12/26/25,Traditional Strength Training,"50" kcal, 12min,"0" mi,"0s","94 bpm","0 m"
